yaxcatd (C:\Program Files\Tableau\Tableau 2023.3\bin\yaxcat\yaxcatd.exe) built at 26ca6db listening on 127.0.0.1:2277 with 8 worker threads.
0.018ms; [no ensemble]::AggModelServiceImpl::ping: 
0.008ms; [no ensemble]::AggModelServiceImpl::ping: 
0.533ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.008ms; [no ensemble]::AggModelServiceImpl::ping: 
0.126ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.073ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.064ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.006ms; [no ensemble]::AggModelServiceImpl::ping: 
0.064ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.059ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.007ms; [no ensemble]::AggModelServiceImpl::ping: 
0.128ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.074ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.269ms; [no ensemble]::AggModelServiceImpl::ping: 
0.104ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.095ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.093ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.069ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.097ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.006ms; [no ensemble]::AggModelServiceImpl::ping: 
0.069ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
stdin closed, exiting.
